inventory_id,product_id,warehouse_id,stock_level
1,1,1,89
2,1,2,47
3,1,3,38
4,1,4,202
5,1,5,492
6,2,1,54
7,2,2,182
8,2,3,49
9,2,4,361
10,2,5,246
11,3,1,61
12,3,2,88
13,3,3,313
14,3,4,54
15,3,5,73
16,4,1,435
17,4,2,260
18,4,3,420
19,4,4,478
20,4,5,470
21,5,1,231
22,5,2,169
23,5,3,292
24,5,4,283
25,5,5,188
26,6,1,201
27,6,2,124
28,6,3,393
29,6,4,343
30,6,5,233
31,7,1,87
32,7,2,141
33,7,3,117
34,7,4,333
35,7,5,273
36,8,1,247
37,8,2,228
38,8,3,125
39,8,4,199
40,8,5,242
41,9,1,320
42,9,2,389
43,9,3,19
44,9,4,281
45,9,5,443
46,10,1,64
47,10,2,9
48,10,3,14
49,10,4,383
50,10,5,103
51,11,1,2
52,11,2,215
53,11,3,205
54,11,4,286
55,11,5,79
56,12,1,414
57,12,2,109
58,12,3,55
59,12,4,215
60,12,5,45
61,13,1,225
62,13,2,108
63,13,3,192
64,13,4,387
65,13,5,320
66,14,1,287
67,14,2,94
68,14,3,96
69,14,4,328
70,14,5,119
71,15,1,133
72,15,2,29
73,15,3,376
74,15,4,94
75,15,5,355
76,16,1,351
77,16,2,489
78,16,3,487
79,16,4,279
80,16,5,415
81,17,1,141
82,17,2,328
83,17,3,471
84,17,4,53
85,17,5,30
86,18,1,238
87,18,2,383
88,18,3,38
89,18,4,415
90,18,5,425
91,19,1,399
92,19,2,103
93,19,3,305
94,19,4,469
95,19,5,434
96,20,1,61
97,20,2,83
98,20,3,185
99,20,4,492
100,20,5,463
101,21,1,202
102,21,2,375
103,21,3,414
104,21,4,454
105,21,5,17
106,22,1,248
107,22,2,44
108,22,3,439
109,22,4,23
110,22,5,141
111,23,1,233
112,23,2,384
113,23,3,392
114,23,4,463
115,23,5,184
116,24,1,142
117,24,2,372
118,24,3,319
119,24,4,488
120,24,5,249
121,25,1,213
122,25,2,220
123,25,3,166
124,25,4,267
125,25,5,190
126,26,1,130
127,26,2,361
128,26,3,363
129,26,4,61
130,26,5,475
131,27,1,424
132,27,2,183
133,27,3,49
134,27,4,110
135,27,5,234
136,28,1,441
137,28,2,73
138,28,3,159
139,28,4,223
140,28,5,375
141,29,1,454
142,29,2,432
143,29,3,8
144,29,4,319
145,29,5,198
146,30,1,355
147,30,2,390
148,30,3,194
149,30,4,432
150,30,5,46
151,31,1,261
152,31,2,421
153,31,3,192
154,31,4,65
155,31,5,364
156,32,1,53
157,32,2,44
158,32,3,125
159,32,4,36
160,32,5,228
161,33,1,165
162,33,2,166
163,33,3,251
164,33,4,155
165,33,5,387
166,34,1,56
167,34,2,103
168,34,3,45
169,34,4,240
170,34,5,468
171,35,1,403
172,35,2,429
173,35,3,355
174,35,4,230
175,35,5,334
176,36,1,316
177,36,2,499
178,36,3,397
179,36,4,231
180,36,5,136
181,37,1,150
182,37,2,468
183,37,3,10
184,37,4,231
185,37,5,272
186,38,1,181
187,38,2,270
188,38,3,340
189,38,4,316
190,38,5,230
191,39,1,408
192,39,2,94
193,39,3,93
194,39,4,70
195,39,5,35
196,40,1,391
197,40,2,127
198,40,3,330
199,40,4,14
200,40,5,192
201,41,1,473
202,41,2,439
203,41,3,388
204,41,4,454
205,41,5,395
206,42,1,30
207,42,2,306
208,42,3,209
209,42,4,83
210,42,5,400
211,43,1,184
212,43,2,101
213,43,3,240
214,43,4,304
215,43,5,276
216,44,1,344
217,44,2,474
218,44,3,446
219,44,4,137
220,44,5,246
221,45,1,233
222,45,2,408
223,45,3,350
224,45,4,494
225,45,5,217
226,46,1,379
227,46,2,278
228,46,3,216
229,46,4,440
230,46,5,303
231,47,1,220
232,47,2,403
233,47,3,216
234,47,4,43
235,47,5,313
236,48,1,411
237,48,2,181
238,48,3,188
239,48,4,181
240,48,5,344
241,49,1,140
242,49,2,104
243,49,3,2
244,49,4,297
245,49,5,70
246,50,1,436
247,50,2,393
248,50,3,433
249,50,4,174
250,50,5,269
251,51,1,235
252,51,2,37
253,51,3,169
254,51,4,473
255,51,5,303
256,52,1,333
257,52,2,207
258,52,3,371
259,52,4,170
260,52,5,412
261,53,1,463
262,53,2,318
263,53,3,258
264,53,4,57
265,53,5,245
266,54,1,114
267,54,2,237
268,54,3,3
269,54,4,466
270,54,5,491
271,55,1,241
272,55,2,225
273,55,3,200
274,55,4,235
275,55,5,101
276,56,1,359
277,56,2,197
278,56,3,160
279,56,4,279
280,56,5,137
281,57,1,400
282,57,2,155
283,57,3,229
284,57,4,201
285,57,5,188
286,58,1,46
287,58,2,297
288,58,3,399
289,58,4,0
290,58,5,172
291,59,1,430
292,59,2,87
293,59,3,430
294,59,4,493
295,59,5,125
296,60,1,256
297,60,2,212
298,60,3,68
299,60,4,396
300,60,5,287
301,61,1,454
302,61,2,93
303,61,3,105
304,61,4,101
305,61,5,349
306,62,1,102
307,62,2,196
308,62,3,29
309,62,4,459
310,62,5,23
311,63,1,427
312,63,2,401
313,63,3,47
314,63,4,234
315,63,5,412
316,64,1,403
317,64,2,485
318,64,3,214
319,64,4,271
320,64,5,271
321,65,1,92
322,65,2,483
323,65,3,63
324,65,4,357
325,65,5,8
326,66,1,274
327,66,2,497
328,66,3,54
329,66,4,204
330,66,5,31
331,67,1,323
332,67,2,151
333,67,3,225
334,67,4,43
335,67,5,335
336,68,1,114
337,68,2,68
338,68,3,74
339,68,4,63
340,68,5,136
341,69,1,418
342,69,2,262
343,69,3,373
344,69,4,351
345,69,5,486
346,70,1,2
347,70,2,333
348,70,3,153
349,70,4,493
350,70,5,49
351,71,1,288
352,71,2,334
353,71,3,34
354,71,4,415
355,71,5,472
356,72,1,125
357,72,2,297
358,72,3,363
359,72,4,285
360,72,5,27
361,73,1,381
362,73,2,459
363,73,3,16
364,73,4,65
365,73,5,235
366,74,1,67
367,74,2,482
368,74,3,371
369,74,4,477
370,74,5,230
371,75,1,71
372,75,2,48
373,75,3,283
374,75,4,265
375,75,5,177
376,76,1,490
377,76,2,301
378,76,3,119
379,76,4,254
380,76,5,466
381,77,1,111
382,77,2,433
383,77,3,106
384,77,4,44
385,77,5,385
386,78,1,491
387,78,2,330
388,78,3,401
389,78,4,378
390,78,5,446
391,79,1,465
392,79,2,80
393,79,3,379
394,79,4,332
395,79,5,252
396,80,1,104
397,80,2,61
398,80,3,303
399,80,4,281
400,80,5,75
401,81,1,282
402,81,2,391
403,81,3,125
404,81,4,157
405,81,5,437
406,82,1,175
407,82,2,316
408,82,3,229
409,82,4,210
410,82,5,434
411,83,1,402
412,83,2,183
413,83,3,169
414,83,4,235
415,83,5,108
416,84,1,254
417,84,2,328
418,84,3,117
419,84,4,489
420,84,5,387
421,85,1,311
422,85,2,68
423,85,3,439
424,85,4,241
425,85,5,364
426,86,1,346
427,86,2,153
428,86,3,127
429,86,4,149
430,86,5,296
431,87,1,183
432,87,2,17
433,87,3,245
434,87,4,143
435,87,5,380
436,88,1,495
437,88,2,252
438,88,3,23
439,88,4,2
440,88,5,417
441,89,1,175
442,89,2,464
443,89,3,169
444,89,4,226
445,89,5,132
446,90,1,404
447,90,2,339
448,90,3,79
449,90,4,489
450,90,5,447
451,91,1,134
452,91,2,201
453,91,3,431
454,91,4,199
455,91,5,101
456,92,1,167
457,92,2,280
458,92,3,326
459,92,4,266
460,92,5,108
461,93,1,141
462,93,2,21
463,93,3,461
464,93,4,270
465,93,5,408
466,94,1,25
467,94,2,93
468,94,3,499
469,94,4,213
470,94,5,227
471,95,1,272
472,95,2,316
473,95,3,188
474,95,4,286
475,95,5,243
476,96,1,427
477,96,2,189
478,96,3,95
479,96,4,78
480,96,5,298
481,97,1,394
482,97,2,451
483,97,3,269
484,97,4,61
485,97,5,237
486,98,1,258
487,98,2,442
488,98,3,331
489,98,4,243
490,98,5,146
491,99,1,486
492,99,2,168
493,99,3,323
494,99,4,168
495,99,5,327
496,100,1,250
497,100,2,41
498,100,3,105
499,100,4,187
500,100,5,335
501,101,1,127
502,101,2,232
503,101,3,297
504,101,4,74
505,101,5,244
506,102,1,342
507,102,2,103
508,102,3,129
509,102,4,286
510,102,5,398
511,103,1,103
512,103,2,245
513,103,3,181
514,103,4,151
515,103,5,136
516,104,1,76
517,104,2,223
518,104,3,457
519,104,4,408
520,104,5,420
521,105,1,459
522,105,2,285
523,105,3,464
524,105,4,191
525,105,5,127
526,106,1,387
527,106,2,161
528,106,3,321
529,106,4,208
530,106,5,430
531,107,1,276
532,107,2,151
533,107,3,427
534,107,4,89
535,107,5,236
536,108,1,46
537,108,2,131
538,108,3,299
539,108,4,497
540,108,5,260
541,109,1,90
542,109,2,315
543,109,3,50
544,109,4,455
545,109,5,319
546,110,1,227
547,110,2,68
548,110,3,396
549,110,4,192
550,110,5,80
551,111,1,486
552,111,2,174
553,111,3,487
554,111,4,345
555,111,5,33
556,112,1,347
557,112,2,296
558,112,3,325
559,112,4,59
560,112,5,177
561,113,1,107
562,113,2,48
563,113,3,374
564,113,4,444
565,113,5,2
566,114,1,262
567,114,2,320
568,114,3,37
569,114,4,378
570,114,5,165
571,115,1,390
572,115,2,443
573,115,3,273
574,115,4,64
575,115,5,391
576,116,1,475
577,116,2,346
578,116,3,90
579,116,4,400
580,116,5,20
581,117,1,426
582,117,2,234
583,117,3,456
584,117,4,204
585,117,5,197
586,118,1,55
587,118,2,373
588,118,3,439
589,118,4,448
590,118,5,442
591,119,1,442
592,119,2,218
593,119,3,334
594,119,4,107
595,119,5,79
596,120,1,109
597,120,2,337
598,120,3,482
599,120,4,76
600,120,5,187
601,121,1,81
602,121,2,221
603,121,3,354
604,121,4,384
605,121,5,361
606,122,1,234
607,122,2,473
608,122,3,226
609,122,4,299
610,122,5,20
611,123,1,15
612,123,2,425
613,123,3,26
614,123,4,76
615,123,5,214
616,124,1,246
617,124,2,199
618,124,3,11
619,124,4,197
620,124,5,111
621,125,1,374
622,125,2,325
623,125,3,336
624,125,4,475
625,125,5,298
626,126,1,348
627,126,2,153
628,126,3,96
629,126,4,218
630,126,5,59
631,127,1,98
632,127,2,358
633,127,3,99
634,127,4,313
635,127,5,470
636,128,1,385
637,128,2,483
638,128,3,190
639,128,4,252
640,128,5,228
641,129,1,455
642,129,2,157
643,129,3,82
644,129,4,345
645,129,5,317
646,130,1,383
647,130,2,222
648,130,3,81
649,130,4,92
650,130,5,174
651,131,1,438
652,131,2,150
653,131,3,162
654,131,4,447
655,131,5,377
656,132,1,311
657,132,2,263
658,132,3,304
659,132,4,413
660,132,5,113
661,133,1,393
662,133,2,377
663,133,3,216
664,133,4,165
665,133,5,143
666,134,1,102
667,134,2,476
668,134,3,333
669,134,4,387
670,134,5,192
671,135,1,415
672,135,2,209
673,135,3,54
674,135,4,411
675,135,5,227
676,136,1,219
677,136,2,147
678,136,3,76
679,136,4,253
680,136,5,497
681,137,1,61
682,137,2,245
683,137,3,481
684,137,4,10
685,137,5,179
686,138,1,441
687,138,2,40
688,138,3,478
689,138,4,254
690,138,5,287
691,139,1,329
692,139,2,192
693,139,3,434
694,139,4,290
695,139,5,225
696,140,1,476
697,140,2,296
698,140,3,39
699,140,4,284
700,140,5,133
701,141,1,115
702,141,2,22
703,141,3,159
704,141,4,351
705,141,5,176
706,142,1,441
707,142,2,22
708,142,3,192
709,142,4,113
710,142,5,332
711,143,1,165
712,143,2,192
713,143,3,401
714,143,4,61
715,143,5,33
716,144,1,116
717,144,2,26
718,144,3,46
719,144,4,82
720,144,5,191
721,145,1,443
722,145,2,253
723,145,3,433
724,145,4,164
725,145,5,454
726,146,1,470
727,146,2,420
728,146,3,177
729,146,4,304
730,146,5,252
731,147,1,270
732,147,2,481
733,147,3,453
734,147,4,145
735,147,5,161
736,148,1,468
737,148,2,205
738,148,3,300
739,148,4,102
740,148,5,144
741,149,1,495
742,149,2,165
743,149,3,277
744,149,4,460
745,149,5,456
746,150,1,467
747,150,2,463
748,150,3,456
749,150,4,7
750,150,5,87
751,151,1,30
752,151,2,19
753,151,3,79
754,151,4,44
755,151,5,119
756,152,1,95
757,152,2,358
758,152,3,434
759,152,4,489
760,152,5,128
761,153,1,46
762,153,2,229
763,153,3,319
764,153,4,399
765,153,5,353
766,154,1,219
767,154,2,453
768,154,3,462
769,154,4,277
770,154,5,210
771,155,1,211
772,155,2,360
773,155,3,210
774,155,4,298
775,155,5,437
776,156,1,202
777,156,2,407
778,156,3,251
779,156,4,281
780,156,5,221
781,157,1,184
782,157,2,106
783,157,3,126
784,157,4,16
785,157,5,475
786,158,1,331
787,158,2,423
788,158,3,351
789,158,4,16
790,158,5,213
791,159,1,204
792,159,2,152
793,159,3,333
794,159,4,215
795,159,5,437
796,160,1,226
797,160,2,153
798,160,3,120
799,160,4,54
800,160,5,201
801,161,1,173
802,161,2,353
803,161,3,126
804,161,4,203
805,161,5,142
806,162,1,421
807,162,2,451
808,162,3,343
809,162,4,112
810,162,5,139
811,163,1,286
812,163,2,310
813,163,3,379
814,163,4,495
815,163,5,41
816,164,1,318
817,164,2,51
818,164,3,136
819,164,4,488
820,164,5,282
821,165,1,79
822,165,2,394
823,165,3,8
824,165,4,113
825,165,5,470
826,166,1,246
827,166,2,219
828,166,3,344
829,166,4,238
830,166,5,181
831,167,1,440
832,167,2,332
833,167,3,113
834,167,4,40
835,167,5,395
836,168,1,64
837,168,2,385
838,168,3,345
839,168,4,112
840,168,5,210
841,169,1,266
842,169,2,231
843,169,3,94
844,169,4,306
845,169,5,495
846,170,1,363
847,170,2,159
848,170,3,345
849,170,4,84
850,170,5,138
851,171,1,364
852,171,2,220
853,171,3,128
854,171,4,180
855,171,5,228
856,172,1,8
857,172,2,67
858,172,3,413
859,172,4,283
860,172,5,449
861,173,1,64
862,173,2,448
863,173,3,381
864,173,4,12
865,173,5,211
866,174,1,131
867,174,2,18
868,174,3,388
869,174,4,354
870,174,5,214
871,175,1,400
872,175,2,195
873,175,3,187
874,175,4,49
875,175,5,361
876,176,1,4
877,176,2,176
878,176,3,156
879,176,4,238
880,176,5,387
881,177,1,116
882,177,2,402
883,177,3,58
884,177,4,96
885,177,5,324
886,178,1,232
887,178,2,31
888,178,3,11
889,178,4,329
890,178,5,374
891,179,1,125
892,179,2,171
893,179,3,271
894,179,4,489
895,179,5,7
896,180,1,102
897,180,2,163
898,180,3,346
899,180,4,494
900,180,5,39
901,181,1,103
902,181,2,370
903,181,3,348
904,181,4,155
905,181,5,313
906,182,1,132
907,182,2,124
908,182,3,399
909,182,4,110
910,182,5,158
911,183,1,84
912,183,2,194
913,183,3,425
914,183,4,162
915,183,5,284
916,184,1,76
917,184,2,76
918,184,3,175
919,184,4,259
920,184,5,109
921,185,1,369
922,185,2,132
923,185,3,126
924,185,4,177
925,185,5,324
926,186,1,195
927,186,2,422
928,186,3,266
929,186,4,131
930,186,5,113
931,187,1,490
932,187,2,36
933,187,3,214
934,187,4,20
935,187,5,488
936,188,1,398
937,188,2,27
938,188,3,372
939,188,4,228
940,188,5,141
941,189,1,79
942,189,2,440
943,189,3,284
944,189,4,23
945,189,5,165
946,190,1,460
947,190,2,352
948,190,3,320
949,190,4,13
950,190,5,133
951,191,1,298
952,191,2,142
953,191,3,35
954,191,4,425
955,191,5,207
956,192,1,238
957,192,2,451
958,192,3,62
959,192,4,129
960,192,5,350
961,193,1,225
962,193,2,390
963,193,3,491
964,193,4,148
965,193,5,481
966,194,1,74
967,194,2,139
968,194,3,124
969,194,4,293
970,194,5,72
971,195,1,14
972,195,2,94
973,195,3,264
974,195,4,377
975,195,5,257
976,196,1,382
977,196,2,456
978,196,3,423
979,196,4,201
980,196,5,6
981,197,1,161
982,197,2,349
983,197,3,249
984,197,4,208
985,197,5,103
986,198,1,43
987,198,2,108
988,198,3,76
989,198,4,486
990,198,5,265
991,199,1,383
992,199,2,357
993,199,3,142
994,199,4,150
995,199,5,238
996,200,1,203
997,200,2,58
998,200,3,429
999,200,4,494
1000,200,5,276
1001,201,1,145
1002,201,2,51
1003,201,3,421
1004,201,4,16
1005,201,5,446
1006,202,1,55
1007,202,2,163
1008,202,3,219
1009,202,4,132
1010,202,5,480
1011,203,1,267
1012,203,2,400
1013,203,3,234
1014,203,4,234
1015,203,5,289
1016,204,1,240
1017,204,2,227
1018,204,3,163
1019,204,4,461
1020,204,5,233
1021,205,1,293
1022,205,2,421
1023,205,3,278
1024,205,4,0
1025,205,5,333
1026,206,1,414
1027,206,2,42
1028,206,3,320
1029,206,4,322
1030,206,5,253
1031,207,1,340
1032,207,2,252
1033,207,3,337
1034,207,4,115
1035,207,5,392
1036,208,1,148
1037,208,2,443
1038,208,3,27
1039,208,4,288
1040,208,5,349
1041,209,1,185
1042,209,2,235
1043,209,3,245
1044,209,4,81
1045,209,5,319
1046,210,1,72
1047,210,2,490
1048,210,3,288
1049,210,4,360
1050,210,5,374
1051,211,1,149
1052,211,2,113
1053,211,3,238
1054,211,4,85
1055,211,5,274
1056,212,1,92
1057,212,2,16
1058,212,3,50
1059,212,4,87
1060,212,5,377
1061,213,1,255
1062,213,2,348
1063,213,3,435
1064,213,4,439
1065,213,5,258
1066,214,1,304
1067,214,2,454
1068,214,3,467
1069,214,4,450
1070,214,5,38
1071,215,1,97
1072,215,2,228
1073,215,3,36
1074,215,4,374
1075,215,5,388
1076,216,1,26
1077,216,2,71
1078,216,3,275
1079,216,4,345
1080,216,5,409
1081,217,1,170
1082,217,2,142
1083,217,3,362
1084,217,4,386
1085,217,5,98
1086,218,1,222
1087,218,2,224
1088,218,3,256
1089,218,4,6
1090,218,5,0
1091,219,1,103
1092,219,2,409
1093,219,3,462
1094,219,4,349
1095,219,5,340
1096,220,1,258
1097,220,2,418
1098,220,3,111
1099,220,4,232
1100,220,5,235
1101,221,1,38
1102,221,2,309
1103,221,3,63
1104,221,4,328
1105,221,5,279
1106,222,1,112
1107,222,2,42
1108,222,3,51
1109,222,4,304
1110,222,5,407
1111,223,1,325
1112,223,2,200
1113,223,3,31
1114,223,4,147
1115,223,5,317
1116,224,1,423
1117,224,2,58
1118,224,3,37
1119,224,4,119
1120,224,5,440
1121,225,1,123
1122,225,2,133
1123,225,3,176
1124,225,4,422
1125,225,5,489
1126,226,1,211
1127,226,2,176
1128,226,3,305
1129,226,4,186
1130,226,5,408
1131,227,1,481
1132,227,2,239
1133,227,3,201
1134,227,4,208
1135,227,5,357
1136,228,1,448
1137,228,2,388
1138,228,3,294
1139,228,4,114
1140,228,5,257
1141,229,1,169
1142,229,2,331
1143,229,3,431
1144,229,4,399
1145,229,5,54
1146,230,1,248
1147,230,2,295
1148,230,3,492
1149,230,4,408
1150,230,5,173
1151,231,1,99
1152,231,2,428
1153,231,3,444
1154,231,4,51
1155,231,5,372
1156,232,1,75
1157,232,2,31
1158,232,3,86
1159,232,4,248
1160,232,5,100
1161,233,1,319
1162,233,2,230
1163,233,3,243
1164,233,4,137
1165,233,5,58
1166,234,1,343
1167,234,2,421
1168,234,3,375
1169,234,4,234
1170,234,5,29
1171,235,1,436
1172,235,2,137
1173,235,3,291
1174,235,4,435
1175,235,5,335
1176,236,1,168
1177,236,2,145
1178,236,3,120
1179,236,4,324
1180,236,5,183
1181,237,1,439
1182,237,2,233
1183,237,3,180
1184,237,4,220
1185,237,5,166
1186,238,1,193
1187,238,2,176
1188,238,3,111
1189,238,4,192
1190,238,5,298
1191,239,1,298
1192,239,2,42
1193,239,3,3
1194,239,4,420
1195,239,5,251
1196,240,1,404
1197,240,2,127
1198,240,3,448
1199,240,4,294
1200,240,5,258
1201,241,1,304
1202,241,2,248
1203,241,3,352
1204,241,4,136
1205,241,5,403
1206,242,1,325
1207,242,2,5
1208,242,3,122
1209,242,4,230
1210,242,5,421
1211,243,1,92
1212,243,2,19
1213,243,3,418
1214,243,4,145
1215,243,5,312
1216,244,1,99
1217,244,2,54
1218,244,3,318
1219,244,4,408
1220,244,5,386
1221,245,1,489
1222,245,2,80
1223,245,3,91
1224,245,4,4
1225,245,5,273
1226,246,1,257
1227,246,2,271
1228,246,3,250
1229,246,4,376
1230,246,5,155
1231,247,1,435
1232,247,2,268
1233,247,3,146
1234,247,4,444
1235,247,5,313
1236,248,1,449
1237,248,2,302
1238,248,3,379
1239,248,4,328
1240,248,5,494
1241,249,1,91
1242,249,2,178
1243,249,3,191
1244,249,4,229
1245,249,5,36
1246,250,1,203
1247,250,2,98
1248,250,3,216
1249,250,4,262
1250,250,5,65
1251,251,1,194
1252,251,2,50
1253,251,3,31
1254,251,4,122
1255,251,5,18
1256,252,1,336
1257,252,2,53
1258,252,3,431
1259,252,4,428
1260,252,5,491
1261,253,1,369
1262,253,2,478
1263,253,3,337
1264,253,4,340
1265,253,5,324
1266,254,1,166
1267,254,2,155
1268,254,3,317
1269,254,4,104
1270,254,5,393
1271,255,1,329
1272,255,2,398
1273,255,3,441
1274,255,4,181
1275,255,5,116
1276,256,1,33
1277,256,2,158
1278,256,3,306
1279,256,4,118
1280,256,5,367
1281,257,1,446
1282,257,2,400
1283,257,3,264
1284,257,4,159
1285,257,5,7
1286,258,1,399
1287,258,2,282
1288,258,3,355
1289,258,4,281
1290,258,5,1
1291,259,1,166
1292,259,2,165
1293,259,3,115
1294,259,4,416
1295,259,5,105
1296,260,1,207
1297,260,2,299
1298,260,3,25
1299,260,4,69
1300,260,5,155
1301,261,1,3
1302,261,2,82
1303,261,3,380
1304,261,4,195
1305,261,5,283
1306,262,1,103
1307,262,2,462
1308,262,3,111
1309,262,4,244
1310,262,5,479
1311,263,1,458
1312,263,2,417
1313,263,3,217
1314,263,4,496
1315,263,5,493
1316,264,1,279
1317,264,2,324
1318,264,3,20
1319,264,4,377
1320,264,5,284
1321,265,1,364
1322,265,2,45
1323,265,3,145
1324,265,4,224
1325,265,5,2
1326,266,1,75
1327,266,2,231
1328,266,3,163
1329,266,4,220
1330,266,5,77
1331,267,1,182
1332,267,2,22
1333,267,3,218
1334,267,4,195
1335,267,5,391
1336,268,1,445
1337,268,2,139
1338,268,3,139
1339,268,4,81
1340,268,5,271
1341,269,1,284
1342,269,2,225
1343,269,3,351
1344,269,4,157
1345,269,5,97
1346,270,1,109
1347,270,2,397
1348,270,3,95
1349,270,4,442
1350,270,5,134
1351,271,1,355
1352,271,2,303
1353,271,3,79
1354,271,4,370
1355,271,5,465
1356,272,1,271
1357,272,2,442
1358,272,3,208
1359,272,4,229
1360,272,5,431
1361,273,1,352
1362,273,2,38
1363,273,3,372
1364,273,4,452
1365,273,5,160
1366,274,1,221
1367,274,2,181
1368,274,3,455
1369,274,4,456
1370,274,5,197
1371,275,1,162
1372,275,2,308
1373,275,3,178
1374,275,4,40
1375,275,5,452
1376,276,1,263
1377,276,2,485
1378,276,3,376
1379,276,4,461
1380,276,5,95
1381,277,1,497
1382,277,2,378
1383,277,3,482
1384,277,4,232
1385,277,5,2
1386,278,1,348
1387,278,2,183
1388,278,3,473
1389,278,4,418
1390,278,5,98
1391,279,1,119
1392,279,2,473
1393,279,3,256
1394,279,4,279
1395,279,5,367
1396,280,1,52
1397,280,2,320
1398,280,3,209
1399,280,4,232
1400,280,5,272
1401,281,1,191
1402,281,2,431
1403,281,3,198
1404,281,4,230
1405,281,5,286
1406,282,1,394
1407,282,2,182
1408,282,3,464
1409,282,4,110
1410,282,5,313
1411,283,1,198
1412,283,2,36
1413,283,3,424
1414,283,4,421
1415,283,5,323
1416,284,1,192
1417,284,2,412
1418,284,3,95
1419,284,4,80
1420,284,5,158
1421,285,1,468
1422,285,2,257
1423,285,3,19
1424,285,4,254
1425,285,5,235
1426,286,1,465
1427,286,2,74
1428,286,3,90
1429,286,4,21
1430,286,5,177
1431,287,1,478
1432,287,2,357
1433,287,3,466
1434,287,4,234
1435,287,5,260
1436,288,1,364
1437,288,2,436
1438,288,3,460
1439,288,4,144
1440,288,5,195
1441,289,1,185
1442,289,2,246
1443,289,3,397
1444,289,4,231
1445,289,5,81
1446,290,1,354
1447,290,2,385
1448,290,3,209
1449,290,4,98
1450,290,5,184
1451,291,1,245
1452,291,2,140
1453,291,3,398
1454,291,4,338
1455,291,5,477
1456,292,1,29
1457,292,2,368
1458,292,3,14
1459,292,4,261
1460,292,5,75
1461,293,1,348
1462,293,2,40
1463,293,3,250
1464,293,4,306
1465,293,5,174
1466,294,1,143
1467,294,2,163
1468,294,3,157
1469,294,4,494
1470,294,5,475
1471,295,1,298
1472,295,2,382
1473,295,3,481
1474,295,4,85
1475,295,5,50
1476,296,1,303
1477,296,2,47
1478,296,3,120
1479,296,4,189
1480,296,5,199
1481,297,1,203
1482,297,2,430
1483,297,3,174
1484,297,4,298
1485,297,5,298
1486,298,1,35
1487,298,2,153
1488,298,3,175
1489,298,4,272
1490,298,5,160
1491,299,1,1
1492,299,2,446
1493,299,3,12
1494,299,4,65
1495,299,5,277
1496,300,1,481
1497,300,2,470
1498,300,3,423
1499,300,4,442
1500,300,5,176
1501,301,1,394
1502,301,2,142
1503,301,3,22
1504,301,4,149
1505,301,5,282
1506,302,1,484
1507,302,2,461
1508,302,3,241
1509,302,4,203
1510,302,5,302
1511,303,1,95
1512,303,2,365
1513,303,3,118
1514,303,4,15
1515,303,5,437
1516,304,1,42
1517,304,2,39
1518,304,3,120
1519,304,4,125
1520,304,5,398
1521,305,1,80
1522,305,2,497
1523,305,3,377
1524,305,4,20
1525,305,5,466
1526,306,1,431
1527,306,2,390
1528,306,3,186
1529,306,4,392
1530,306,5,139
1531,307,1,19
1532,307,2,161
1533,307,3,168
1534,307,4,204
1535,307,5,233
1536,308,1,123
1537,308,2,41
1538,308,3,463
1539,308,4,192
1540,308,5,364
1541,309,1,449
1542,309,2,61
1543,309,3,487
1544,309,4,193
1545,309,5,33
1546,310,1,279
1547,310,2,102
1548,310,3,347
1549,310,4,496
1550,310,5,301
1551,311,1,471
1552,311,2,382
1553,311,3,8
1554,311,4,330
1555,311,5,363
1556,312,1,475
1557,312,2,132
1558,312,3,13
1559,312,4,303
1560,312,5,466
1561,313,1,200
1562,313,2,109
1563,313,3,381
1564,313,4,8
1565,313,5,71
1566,314,1,77
1567,314,2,380
1568,314,3,413
1569,314,4,393
1570,314,5,374
1571,315,1,77
1572,315,2,491
1573,315,3,88
1574,315,4,229
1575,315,5,244
1576,316,1,106
1577,316,2,60
1578,316,3,254
1579,316,4,319
1580,316,5,122
1581,317,1,116
1582,317,2,434
1583,317,3,342
1584,317,4,376
1585,317,5,182
1586,318,1,345
1587,318,2,392
1588,318,3,119
1589,318,4,178
1590,318,5,474
1591,319,1,405
1592,319,2,164
1593,319,3,165
1594,319,4,5
1595,319,5,120
1596,320,1,379
1597,320,2,232
1598,320,3,31
1599,320,4,281
1600,320,5,335
