order_id,customer_id,order_date,shipping_id
1,3275,2023-03-16,1
2,4446,2023-02-21,1
3,2182,2023-09-17,1
4,3557,2023-09-22,1
5,23919,2024-05-29,1
6,16339,2023-12-01,1
7,14101,2023-01-18,1
8,15809,2023-05-22,1
9,13712,2023-12-02,3
10,23290,2023-10-18,1
11,12986,2024-05-05,1
12,17330,2024-02-13,1
13,5349,2023-03-23,2
14,7612,2024-03-26,2
15,24961,2023-03-24,1
16,11579,2024-01-14,3
17,11295,2023-10-24,1
18,24284,2023-07-25,1
19,23529,2023-12-21,1
20,11938,2023-08-07,3
21,1433,2024-01-01,1
22,2350,2023-11-20,1
23,18334,2023-10-01,3
24,24662,2023-10-21,1
25,10858,2024-01-07,3
26,18310,2024-06-26,1
27,23793,2023-05-20,1
28,1874,2023-05-11,2
29,13225,2023-06-20,1
30,469,2023-02-24,1
31,24791,2023-07-31,3
32,3301,2024-06-27,1
33,3251,2023-05-12,1
34,4532,2024-04-18,1
35,4764,2023-06-05,1
36,21510,2023-07-26,1
37,216,2023-05-18,1
38,23809,2023-02-12,1
39,19274,2023-04-25,2
40,21679,2024-02-05,3
41,11731,2024-01-01,2
42,13344,2023-08-05,1
43,314,2023-04-16,1
44,3940,2024-05-31,1
45,6867,2023-01-24,1
46,16778,2023-11-29,2
47,22998,2024-04-24,1
48,10153,2023-08-19,1
49,17610,2024-06-25,1
50,21035,2023-10-23,1
51,21669,2023-08-17,1
52,8315,2023-09-16,3
53,1702,2023-02-05,1
54,8132,2024-01-27,1
55,6983,2024-06-23,1
56,4571,2023-11-08,1
57,3930,2023-02-26,2
58,2590,2024-02-22,1
59,12311,2023-06-18,1
60,8142,2023-07-22,2
61,15345,2023-06-18,1
62,3790,2023-02-23,1
63,9061,2024-03-27,2
64,5159,2024-01-14,2
65,13827,2023-06-21,1
66,23604,2024-06-12,2
67,5960,2023-01-14,1
68,9971,2024-03-12,3
69,20740,2023-09-20,1
70,333,2024-03-20,1
71,12623,2024-05-18,1
72,22940,2023-05-30,2
73,21215,2023-08-13,3
74,20169,2023-10-06,1
75,21189,2023-05-24,1
76,13458,2023-06-20,2
77,5341,2023-09-09,1
78,10292,2023-06-02,2
79,11451,2023-07-11,1
80,374,2023-10-11,2
81,13475,2024-03-11,1
82,6301,2024-02-25,3
83,5677,2024-01-14,2
84,1424,2023-04-02,1
85,9403,2023-03-07,1
86,2199,2024-04-19,1
87,1356,2023-02-14,1
88,1362,2023-05-05,1
89,20212,2023-12-16,1
90,15940,2023-11-15,3
91,3111,2024-06-28,1
92,1182,2023-07-01,1
93,18137,2024-01-10,1
94,7780,2024-05-31,1
95,6912,2024-02-14,2
96,17813,2024-06-09,2
97,17572,2024-03-13,1
98,11676,2023-04-27,1
99,18553,2023-03-10,1
100,22794,2023-12-16,1
101,16740,2024-03-11,1
102,14246,2023-06-24,1
103,16226,2023-11-11,2
104,5857,2023-08-12,1
105,18971,2023-11-04,1
106,19741,2023-12-19,1
107,10377,2023-12-26,2
108,311,2024-05-23,2
109,9608,2024-03-28,2
110,5622,2023-09-15,1
111,21850,2024-05-08,2
112,15600,2023-09-14,1
113,12663,2024-06-02,1
114,13205,2023-01-08,1
115,22926,2023-08-03,1
116,12114,2023-03-27,3
117,20168,2024-03-06,1
118,15462,2023-01-22,1
119,4058,2023-08-11,1
120,107,2023-03-05,1
121,21410,2023-07-02,1
122,9160,2023-04-09,1
123,11271,2023-04-07,1
124,18847,2023-06-19,3
125,19365,2023-11-07,2
126,17262,2023-09-28,2
127,19939,2024-01-22,1
128,21517,2023-03-25,2
129,7181,2024-03-14,1
130,7306,2024-03-20,1
131,12975,2023-02-05,1
132,17124,2024-06-20,2
133,19765,2024-02-24,1
134,22428,2023-05-31,1
135,11552,2024-04-21,1
136,6531,2023-10-07,1
137,2016,2023-01-28,2
138,2775,2024-01-31,1
139,21845,2024-01-03,1
140,4142,2024-05-15,1
141,19643,2023-01-24,1
142,21566,2023-09-20,2
143,14164,2023-03-20,1
144,11072,2023-12-10,1
145,2264,2024-03-14,2
146,13331,2023-08-20,1
147,6326,2024-05-05,1
148,11959,2024-01-20,1
149,16018,2024-05-02,1
